Question/Deficiency,Category,Question_ID,Recommended Action,Suggested Corrective Action
Are written procedures in place for controlling and affixing seals to loaded containers/trailers?,VI. Seal Security,VI.1,Detailed seal procedures must be documented and followed.,Develop written procedures for seal control application and reporting of compromised seals to authorities.
Are procedures in place at point of stuffing to properly seal and maintain container integrity?,VI. Seal Security,VI.2,Procedures must be in place for properly sealing and maintaining the integrity of shipping containers.,Implement protocols for maintaining container security from stuffing through transportation.
Are high security seals that meet PAS ISO 17712 standards affixed to all loaded containers bound for the US?,VI. Seal Security,VI.3,All FCL shipments must use PAS ISO 17712 high security seals.,Obtain and use only certified high security seals and maintain seal certificates as evidence of compliance.
Is there a process to verify that high security seals are affixed properly and functioning as designed?,VI. Seal Security,VI.4,A process must be in place to verify proper seal application and functionality.,Implement verification procedures to ensure seals are correctly affixed to containers.
Are only designated/trained employees allowed to utilize/affix/inspect seals?,VI. Seal Security,VI.5,Only designated/trained employees are allowed to affix the seals for integrity purposes.,Ensure only properly trained personnel handle seal application and verification.
Are written procedures in place to maintain container integrity while in custody of facility/carrier?,VI. Seal Security,VI.6,Written procedures must be in place to protect containers at your facility and with carriers.,Document processes to prevent unauthorized access and maintain security throughout custody.
Is VVTT (View Verify Tug Twist) method used when seals change hands during transit?,VI. Seal Security,VI.7,Implement the VVTT seal verification method when seals change custody.,Develop notification protocols for seal condition verification and reporting compromised seals.
Are procedures in place to inspect containers if seal tampering is detected but perpetrators are unknown?,VI. Seal Security,VI.8,Procedures must be in place to open and inspect containers when seal tampering is detected.,Document decision processes for determining who should conduct container inspections when tampering is suspected.
Are procedures in place to inform US Customs/law enforcement of discovery of broken/changed seals?,VI. Seal Security,VI.9,Procedures MUST be in place to inform US Customs or law enforcement of broken or changed seals.,Develop formal notification protocols with contact information for relevant authorities.
Are procedures in place to notify customers/parties involved when conveyances have broken/changed seals?,VI. Seal Security,VI.10,Notification procedures must be documented for seal changes.,Document steps for notifying customers in the USA of seal changes including circumstances and investigation results.
Are procedures in place for reporting and neutralizing unauthorized entry into containers/storage areas?,VI. Seal Security,VI.11,Procedures must be in place for reporting and neutralizing unauthorized access.,Develop response protocols for container breaches including documentation and reporting procedures.
Is all cargo staged overnight or for extended periods secured from unauthorized access?,VII. Procedural Security,VII.1,All cargo staged overnight or for extended periods must be secured from unauthorized access.,Implement physical security measures for cargo staging areas including access controls.
Are all cargo staging areas inspected regularly to remain free of visible pest contamination?,VII. Procedural Security,VII.2,All cargo staging areas must be inspected for pests.,Implement pest control measures including bait traps vegetation management and regular inspections.
Are procedures in place to ensure cargo information is legible complete accurate and protected?,VII. Procedural Security,VII.3,Procedures must be in place to ensure cargo documentation is accurate legible and protected.,Implement document control measures to prevent information loss errors or tampering.
Does the shipper ensure Bill of Ladings/manifests accurately reflect carrier information?,VII. Procedural Security,VII.4,The shipper MUST ensure that BOLs and manifests accurately reflect information provided to the carrier.,Implement verification procedures to ensure documentation accuracy.
Are all Bills of Lading and manifests filed with US Customs in a timely fashion?,VII. Procedural Security,VII.5,All Bills of Lading and manifest MUST be filed with U.S. Customs in a timely fashion.,Establish procedures to ensure timely filing of all required documentation.
Does BOL information clearly indicate the first foreign location where carrier took possession of US-bound cargo?,VII. Procedural Security,VII.6,BOL information MUST clearly indicate the first foreign location where the carrier took possession of cargo.,Ensure all documentation accurately reflects the cargo custody chain.
Are conveyance/IIT inspections recorded on a checklist with container number date time and inspector name?,VII. Procedural Security,VII.7,All conveyance and IIT inspections MUST be recorded on a detailed checklist.,Implement standardized inspection documentation including all required elements.
Are written procedures in place to identify handle and report unmanifested cargo?,VII. Procedural Security,VII.8,Written procedures must be in place for unmanifested cargo.,Develop protocols for identifying handling and reporting cargo discrepancies.
Is a notification protocol in place to report suspicious activities or security incidents affecting supply chain?,VII. Procedural Security,VII.9,Notification protocol must be written and implemented.,Establish formal procedures for reporting security incidents to relevant parties.
Are all shortages overages and discrepancies investigated and resolved appropriately?,VII. Procedural Security,VII.10,All discrepancies must be investigated and resolved.,Implement tracking and resolution procedures for cargo discrepancies.
Are procedures in place to identify challenge and address unauthorized persons on the site grounds?,VII. Procedural Security,VII.11,Procedures must be in place to identify and challenge unauthorized/unidentified persons.,Develop protocols for addressing unauthorized access to facility grounds.
Are written procedures in place for reporting security incidents with internal escalation process?,VII. Procedural Security,VII.12,Your company must have an Internal Escalation Process procedure for reporting all security incidents.,Document the complete escalation process for security incidents.
Do notification procedures include accurate contact information for required personnel and law enforcement?,VII. Procedural Security,VII.13,Notification procedures must include accurate contact information for all required parties.,Maintain updated contact lists for all personnel requiring notification and relevant authorities.
Does the company initiate internal investigations immediately after security incidents?,VII. Procedural Security,VII.14,You must immediately initiate internal investigations of any security related incidents.,Establish investigation protocols that activate immediately upon security incident detection.
Are all internal investigations documented completed quickly and available to authorities upon request?,VII. Procedural Security,VII.15,All internal investigations must be documented completed promptly and made available to authorities.,Implement documentation standards for security investigations.
Are processes in place to prevent visible pest contamination including ISPM-15 compliance?,VIII. Agricultural Security,VIII.1,Processes and procedures must be in place to prevent visible pest contamination.,Implement comprehensive pest prevention measures including compliance with ISPM-15 for wood packaging.
Does the company comply with ISPM-15 requirements for wood packaging materials?,VIII. Agricultural Security,VIII.2,The Company must comply with ISPM-15 requirements when using wood packaging materials.,Ensure all wood packaging meets international phytosanitary standards to prevent pest spread.
Do all cargo handling/storage facilities have physical barriers that prevent unauthorized access?,IX. Physical Security,IX.1,All cargo handling storage facilities and yards must have physical barriers to prevent unauthorized access.,Implement appropriate physical security measures to secure all facility areas.
Is adequate lighting provided both inside and outside the facility including all critical areas?,IX. Physical Security,IX.2,Adequate lighting must be provided for security purposes.,Install appropriate lighting with timers or sensors at entrances exits cargo areas fence lines and parking.
Are gates and other points of egress manned or monitored?,IX. Physical Security,IX.3,Gates must be manned and monitored with a minimum number necessary for proper access and safety.,Implement monitoring for all access points with appropriate staffing.
If technology is utilized is access to control locations limited to authorized persons?,IX. Physical Security,IX.4,Access to technology control locations must be restricted to authorized personnel only.,Implement access controls for security technology management areas.
If technology is utilized are procedures in place for regular testing/inspection?,IX. Physical Security,IX.5,Regular testing and inspection procedures must be implemented for all security technology.,Establish a maintenance and testing schedule for all security systems.
If technology is utilized are inspections conducted to verify proper positioning and function?,IX. Physical Security,IX.6,All technology equipment must be properly positioned and functioning correctly.,Implement regular checks to ensure security equipment is correctly placed and operational.
If technology is utilized are inspection results and corrections documented?,IX. Physical Security,IX.7,Technology inspection results must be documented including any corrections or modifications.,Maintain records of all system tests maintenance and adjustments.
Are technology inspection results maintained for sufficient time for audit purposes?,IX. Physical Security,IX.8,Inspection results must be maintained for audit purposes.,Establish retention policies for security system testing and maintenance records.
If CCTV is used are cameras positioned to cover key import/export process areas?,IX. Physical Security,IX.9,Video surveillance should cover import/export cargo process areas.,Position cameras to monitor all critical operational areas particularly those handling cargo.
If CCTV is used is it set to record at highest quality 24/7?,IX. Physical Security,IX.10,Video surveillance systems should record at highest quality setting 24/7.,Configure recording systems for optimal quality and continuous operation.
If CCTV is used are periodic random reviews conducted to verify security procedures?,IX. Physical Security,IX.11,Periodic random reviews of CCTV footage must be conducted to verify security compliance.,Implement a schedule for management review of surveillance footage with written summaries.
If security guards are utilized are their work instructions contained in written policies?,IX. Physical Security,IX.12,Security guard work instructions must be included in written policies and procedures.,Document all security guard responsibilities and protocols in formal procedures.
If security guards are used does management verify compliance through audits and reviews?,IX. Physical Security,IX.13,Security guard compliance must be verified through audits and policy reviews.,Establish oversight processes for security personnel performance and adherence to procedures.
Is a personnel identification system in place for positive identification and access control?,X. Physical Access Controls,X.1,A personnel identification system must be implemented for access control purposes.,Develop a comprehensive identification system that positively identifies all personnel.
Are there written procedures for granting changing or revoking ID badges and access devices?,X. Physical Access Controls,X.2,Written procedures must govern how ID badges and access devices are managed.,Document complete processes for the full lifecycle of access credentials.
Is access to sensitive areas restricted based on job description and assigned duties?,X. Physical Access Controls,X.3,Access to sensitive areas must be restricted based on job description.,Implement role-based access control for all sensitive or restricted areas.
Are all access privileges removed when employees separate from the company?,X. Physical Access Controls,X.4,All company access must be removed when employees leave the company.,Establish procedures for immediate deactivation of all access upon separation.
Are visitors vendors and service providers required to present photo ID upon arrival?,X. Physical Access Controls,X.5,All visitors vendors and service providers must show photo ID upon arrival.,Implement mandatory identification verification for all non-employees.
Is a visitor log maintained with date time name ID verification company contact and departure time?,X. Physical Access Controls,X.6,A comprehensive Visitor Log must be maintained with all required information.,Implement a standardized visitor management system with complete documentation.
Are drivers delivering/receiving cargo positively identified before cargo is received/released?,X. Physical Access Controls,X.7,Drivers must be positively identified before cargo is received or released.,Implement ID verification procedures for all drivers handling cargo.
Is a cargo pickup log maintained with driver name date time company truck/trailer number and seal number?,X. Physical Access Controls,X.8,A Cargo Log must be maintained with complete information for all cargo movements.,Implement comprehensive cargo transaction documentation procedures.
Are written processes in place to screen prospective employees?,XI. Personnel Security,XI.1,Written processes must be in place for employee screening.,Develop formal procedures for pre-employment screening and background verification.
Is application information such as employment history and references verified prior to hire?,XI. Personnel Security,XI.2,Employment history and references must be verified prior to hire.,Implement verification procedures compliant with local laws for all new hires.
Does the company have an Employee Code of Conduct with expectations and acceptable behaviors?,XI. Personnel Security,XI.3,An Employee Code of Conduct is required.,Develop a comprehensive code that clearly defines expectations and acceptable behaviors.
Are penalties and disciplinary procedures included in the Employee Code of Conduct?,XI. Personnel Security,XI.4,Penalties and disciplinary procedures must be included in the Code of Conduct.,Clearly document consequences for policy violations in the code.
Do employees acknowledge reading and understanding the Code of Conduct by signing it?,XI. Personnel Security,XI.5,Employees must acknowledge the Code of Conduct in writing.,Maintain signed acknowledgments in all employee files.
Is there a security training program to recognize supply chain vulnerabilities?,XII. Education Training and Awareness,XII.1,C-TPAT training must be provided to all employees annually.,Implement regular group training sessions using provided training materials.
Does the security training program cover C-TPAT security requirements?,XII. Education Training and Awareness,XII.2,Security training must cover all C-TPAT requirements.,Use the provided training materials to conduct comprehensive security awareness education.
Do new employees receive security awareness training during orientation?,XII. Education Training and Awareness,XII.3,New employees must receive security training during orientation.,Include security awareness in all new hire onboarding processes.
Is evidence of security training maintained in logs sign-in sheets or electronic records?,XII. Education Training and Awareness,XII.4,Training logs must be maintained for all security training sessions.,Document all training activities with participant signatures and dates.
Are employees who conduct security inspections trained in procedures and what to look for?,XII. Education Training and Awareness,XII.5,Employees conducting security inspections must receive specialized training.,Provide detailed training on identifying hidden compartments contraband and pest contamination.
Is specialized training provided on identifying money laundering and terrorism financing indicators?,XII. Education Training and Awareness,XII.6,Training on warning indicators of money laundering and terrorism financing is required.,Implement annual specialized training for relevant personnel.
Do personnel operating security technology receive operations and maintenance training?,XII. Education Training and Awareness,XII.7,Personnel operating security technology must receive operational training.,Provide technical training for all security system operators.
Are personnel trained on reporting security incidents and suspicious activities?,XII. Education Training and Awareness,XII.8,Staff must be trained on reporting security incidents and suspicious activities.,Implement protocols and training for security incident reporting.
Is training provided to applicable personnel on preventing visible pest contamination?,XII. Education Training and Awareness,XII.9,Training on preventing visible pest contamination must be provided.,Implement pest prevention training appropriate to your business model.
